Cow_ID,Day,Milk_Temperature,Milk_pH,Milk_Conductivity,Somatic_Cell_Count,Milk_Yield,Clotting,class1,temp_norm,cond_norm,yield_norm,risk_score,risk_level,pred_class1
C0068,26,35.26,6.66,4.56,157,17.3,0,0,0.20999999999999966,0.25999999999999995,0.48846153846153845,31.382307692307677,LOW,0
C0069,9,37.89,6.97,6.88,427,8.6,1,1,0.6483333333333334,0.6466666666666666,0.823076923076923,70.19205128205128,HIGH,1
C0070,26,37.51,7.05,7.0,573,6.3,1,1,0.5849999999999996,0.6666666666666666,0.9115384615384615,71.48102564102562,HIGH,1
C0071,21,35.76,6.72,3.98,151,18.7,0,0,0.293333333333333,0.16333333333333333,0.4346153846153846,29.163076923076915,LOW,0
C0072,2,35.21,6.73,4.95,161,20.0,0,0,0.2016666666666668,0.325,0.38461538461538464,30.154743589743592,LOW,0
C0073,20,35.49,6.66,4.7,105,16.6,0,0,0.24833333333333366,0.2833333333333334,0.5153846153846153,34.336923076923085,LOW,0
C0074,28,37.67,7.14,6.0,595,9.9,1,1,0.6116666666666669,0.5,0.7730769230769231,62.26205128205129,HIGH,1
C0075,15,36.36,6.69,4.29,126,14.6,0,0,0.39333333333333326,0.215,0.5923076923076923,39.25987179487179,LOW,0
C0076,28,35.72,6.56,4.86,83,21.6,0,0,0.28666666666666646,0.31000000000000005,0.32307692307692304,30.61205128205128,LOW,0
C0077,7,37.45,7.13,6.28,645,8.1,0,1,0.5750000000000005,0.5466666666666667,0.8423076923076922,64.79487179487182,HIGH,1
C0078,12,38.71,7.24,6.58,775,13.4,1,1,0.7850000000000001,0.5966666666666667,0.6384615384615385,67.36564102564103,HIGH,1
C0079,29,37.95,7.14,7.44,529,8.5,0,1,0.6583333333333338,0.7400000000000001,0.8269230769230769,73.91794871794873,HIGH,1
C0080,8,34.99,6.6,4.7,204,15.3,0,0,0.16500000000000034,0.2833333333333334,0.5653846153846154,33.053589743589754,LOW,0
C0081,15,35.37,6.68,4.23,141,20.1,0,0,0.22833333333333292,0.20500000000000007,0.3807692307692307,26.742179487179474,LOW,0
C0082,3,34.67,6.7,5.11,145,15.7,0,0,0.11166666666666696,0.35166666666666674,0.55,33.155000000000015,LOW,0
C0083,14,38.48,7.15,7.17,553,4.9,1,1,0.7466666666666661,0.695,0.9653846153846154,79.63858974358973,HIGH,1
C0084,17,38.14,7.09,7.07,509,7.8,1,1,0.6900000000000001,0.6783333333333333,0.8538461538461538,73.67089743589743,HIGH,1
C0085,4,35.26,6.82,4.23,157,18.6,0,0,0.20999999999999966,0.20500000000000007,0.4384615384615384,27.907307692307683,LOW,0
C0086,18,36.29,6.76,4.35,133,20.9,0,0,0.38166666666666654,0.22499999999999995,0.35000000000000003,31.70166666666666,LOW,0
C0087,8,34.89,6.67,5.13,74,17.7,0,0,0.14833333333333343,0.355,0.4730769230769231,32.13371794871796,LOW,0
C0088,4,38.05,6.97,6.46,443,7.0,1,1,0.6749999999999995,0.5766666666666667,0.8846153846153846,70.55641025641025,HIGH,1
C0089,2,37.98,6.97,7.61,552,12.2,1,1,0.6633333333333328,0.7683333333333334,0.6846153846153846,70.66807692307691,HIGH,1
C0090,30,36.02,6.69,4.68,126,21.9,0,0,0.33666666666666717,0.27999999999999997,0.3115384615384616,30.904358974358992,LOW,0
C0091,6,36.34,6.83,4.15,164,25.3,0,0,0.39000000000000057,0.19166666666666674,0.18076923076923074,25.572179487179508,LOW,0
C0092,22,35.27,6.63,4.97,102,28.4,0,0,0.2116666666666672,0.3283333333333333,0.06153846153846159,20.596025641025662,LOW,0
C0093,10,37.73,7.11,6.71,498,8.7,0,1,0.6216666666666661,0.6183333333333333,0.8192307692307692,68.17448717948716,HIGH,1
C0094,4,38.05,7.26,6.39,520,11.7,1,1,0.6749999999999995,0.565,0.7038461538461539,64.54423076923075,HIGH,1
C0095,22,38.08,7.17,7.21,483,7.6,0,1,0.6799999999999997,0.7016666666666667,0.8615384615384615,74.38602564102564,HIGH,1
C0096,29,35.94,6.57,4.24,128,24.5,0,0,0.323333333333333,0.2066666666666667,0.21153846153846154,24.784358974358963,LOW,0
C0097,18,35.83,6.61,4.75,267,22.3,0,0,0.3049999999999997,0.2916666666666667,0.2961538461538461,29.75910256410256,LOW,0
C0098,26,34.71,6.51,5.36,110,18.5,0,0,0.11833333333333347,0.39333333333333337,0.4423076923076923,31.50153846153847,LOW,0
C0099,12,36.24,6.65,4.85,113,23.7,0,0,0.3733333333333337,0.3083333333333333,0.24230769230769234,30.996538461538474,LOW,0
C0100,2,38.21,7.06,6.71,624,10.4,1,1,0.7016666666666668,0.6183333333333333,0.7538461538461539,68.86756410256412,HIGH,1
C0101,10,37.68,7.05,7.16,631,8.2,1,1,0.6133333333333333,0.6933333333333334,0.8384615384615385,71.1123076923077,HIGH,1
C0102,30,38.89,6.97,6.98,559,6.9,1,1,0.8150000000000001,0.6633333333333334,0.8884615384615385,78.46897435897438,HIGH,1
C0103,4,37.4,7.09,6.97,510,5.2,1,1,0.5666666666666664,0.6616666666666666,0.9538461538461539,71.99423076923075,HIGH,1
C0104,14,35.63,6.75,4.37,111,23.1,0,0,0.2716666666666671,0.22833333333333336,0.26538461538461533,25.45525641025643,LOW,0
C0105,16,35.22,6.58,4.77,95,16.8,0,0,0.20333333333333314,0.29499999999999993,0.5076923076923077,32.97679487179486,LOW,0
C0106,15,37.66,7.31,6.24,818,11.9,1,1,0.6099999999999994,0.54,0.6961538461538462,61.22076923076922,HIGH,1
C0107,8,38.7,7.21,7.15,448,11.2,1,1,0.7833333333333338,0.6916666666666668,0.7230769230769231,73.2570512820513,HIGH,1
C0108,14,36.09,6.74,5.13,129,22.3,0,0,0.3483333333333339,0.355,0.2961538461538461,33.44910256410258,LOW,0
C0109,23,35.77,6.67,4.67,138,18.1,0,0,0.29500000000000054,0.2783333333333333,0.4576923076923076,33.96012820512822,LOW,0
C0110,28,35.31,6.71,4.43,125,16.0,0,0,0.2183333333333337,0.23833333333333329,0.5384615384615384,32.4573076923077,LOW,0
C0111,25,37.93,7.27,6.65,700,8.0,1,1,0.6549999999999999,0.6083333333333334,0.8461538461538461,69.7924358974359,HIGH,1
C0112,30,34.08,6.56,4.61,199,19.9,0,0,0.01333333333333305,0.26833333333333337,0.3884615384615385,21.887307692307683,LOW,0
C0113,8,36.07,6.71,4.93,137,16.5,0,0,0.34500000000000003,0.3216666666666666,0.5192307692307693,39.08448717948718,LOW,0
C0114,21,34.63,6.56,4.61,78,16.5,0,0,0.10500000000000043,0.26833333333333337,0.5192307692307693,29.05782051282053,LOW,0
C0115,16,35.32,6.7,4.68,127,26.3,0,0,0.22000000000000006,0.27999999999999997,0.14230769230769227,21.691538461538464,LOW,0
C0116,13,34.94,6.51,4.85,126,17.4,0,0,0.1566666666666663,0.3083333333333333,0.48461538461538467,31.14141025641024,LOW,0
C0117,18,34.85,6.73,4.79,124,19.0,0,0,0.1416666666666669,0.29833333333333334,0.4230769230769231,28.373717948717957,LOW,0
C0118,15,36.08,6.53,4.1,122,18.9,0,0,0.3466666666666664,0.18333333333333326,0.42692307692307696,31.437948717948704,LOW,0
C0119,21,35.27,6.71,4.36,124,18.7,0,0,0.2116666666666672,0.2266666666666667,0.4346153846153846,28.60307692307694,LOW,0
C0120,24,35.67,6.71,4.98,135,21.9,0,0,0.2783333333333336,0.33000000000000007,0.3115384615384616,30.67102564102565,LOW,0
C0121,26,35.48,6.58,4.66,125,22.8,0,0,0.24666666666666615,0.27666666666666667,0.2769230769230769,26.654615384615365,LOW,0
C0122,25,37.89,7.09,6.69,520,11.1,0,1,0.6483333333333334,0.6150000000000001,0.7269230769230769,66.10294871794873,HIGH,1
C0123,28,35.54,6.68,4.29,164,16.3,0,0,0.25666666666666654,0.215,0.5269230769230769,32.58628205128205,LOW,0
C0124,28,34.86,6.6,4.38,114,23.8,0,0,0.14333333333333323,0.22999999999999998,0.23846153846153845,20.31564102564102,LOW,0
C0125,28,38.66,7.03,6.9,712,6.8,1,1,0.7766666666666661,0.65,0.8923076923076922,76.81820512820511,HIGH,1
C0126,13,35.25,6.45,4.67,111,25.2,0,0,0.20833333333333334,0.2783333333333333,0.18461538461538465,22.548076923076927,LOW,0
C0127,9,34.72,6.68,4.52,85,13.3,0,0,0.11999999999999982,0.25333333333333324,0.6423076923076922,32.858205128205114,LOW,0
C0128,29,35.29,6.49,4.41,165,20.6,0,0,0.21499999999999986,0.23500000000000001,0.3615384615384615,26.7426923076923,LOW,0
C0129,15,36.25,6.66,4.68,117,25.8,0,0,0.375,0.27999999999999997,0.16153846153846152,27.557692307692307,LOW,0
C0130,13,35.93,6.62,4.81,163,18.9,0,0,0.3216666666666666,0.3016666666666666,0.42692307692307696,34.72961538461538,LOW,0
C0131,1,35.33,6.72,5.33,54,19.3,0,0,0.22166666666666637,0.38833333333333336,0.4115384615384615,33.88602564102563,LOW,0
C0132,25,35.33,6.62,4.25,206,20.9,0,0,0.22166666666666637,0.20833333333333334,0.35000000000000003,25.678333333333324,LOW,0
C0133,7,35.34,6.62,5.05,177,18.3,0,0,0.2233333333333339,0.3416666666666666,0.44999999999999996,33.50166666666669,LOW,0
C0134,9,36.54,6.72,4.99,90,19.1,0,0,0.4233333333333332,0.3316666666666667,0.4192307692307692,38.99782051282051,LOW,0
C0135,24,35.69,6.68,4.47,91,19.0,0,0,0.2816666666666663,0.24499999999999997,0.4230769230769231,31.267051282051266,LOW,0
C0136,1,35.72,6.68,4.76,217,18.1,0,0,0.28666666666666646,0.2933333333333333,0.4576923076923076,34.20179487179486,LOW,0
C0137,12,36.02,6.7,4.56,121,23.7,0,0,0.33666666666666717,0.25999999999999995,0.24230769230769234,28.058205128205145,LOW,0
C0138,8,35.62,6.5,4.76,117,21.4,0,0,0.2699999999999996,0.2933333333333333,0.3307692307692308,29.700512820512802,LOW,0
C0139,24,37.76,7.01,6.84,389,7.7,1,1,0.6266666666666664,0.64,0.8576923076923078,70.2951282051282,HIGH,1
C0140,11,35.4,6.71,4.88,136,22.4,0,0,0.2333333333333331,0.3133333333333333,0.2923076923076924,27.961538461538453,LOW,0
C0141,19,35.46,6.55,4.85,141,19.2,0,0,0.24333333333333348,0.3083333333333333,0.4153846153846154,31.941923076923086,LOW,0
C0142,17,35.48,6.63,4.57,179,17.7,0,0,0.24666666666666615,0.2616666666666667,0.4730769230769231,32.210384615384605,LOW,0
C0143,8,35.86,6.65,4.25,94,18.2,0,0,0.3099999999999999,0.20833333333333334,0.4538461538461539,31.900897435897434,LOW,0
C0144,3,35.53,6.64,4.64,89,20.0,0,0,0.25500000000000017,0.27333333333333326,0.38461538461538464,30.15974358974359,LOW,0
C0145,3,37.96,7.15,6.74,662,10.8,1,1,0.6600000000000001,0.6233333333333334,0.7384615384615384,67.14897435897437,HIGH,1
C0146,1,37.81,7.29,6.63,470,11.1,1,1,0.6350000000000003,0.605,0.7269230769230769,65.2996153846154,HIGH,1
C0147,27,35.54,6.76,4.38,87,18.5,0,0,0.25666666666666654,0.22999999999999998,0.4423076923076923,30.488205128205127,LOW,0
C0148,5,38.8,7.1,6.24,735,9.8,1,1,0.7999999999999995,0.54,0.7769230769230769,70.18461538461537,HIGH,1
C0149,10,35.96,6.71,4.4,152,11.7,0,0,0.3266666666666668,0.2333333333333334,0.7038461538461539,41.09256410256411,MODERATE,1
C0150,7,35.67,6.78,4.46,194,19.5,0,0,0.2783333333333336,0.24333333333333332,0.40384615384615385,30.499230769230778,LOW,0
C0151,26,36.0,6.69,4.57,147,25.2,0,0,0.3333333333333333,0.2616666666666667,0.18461538461538465,26.214743589743595,LOW,0
C0152,9,37.83,7.04,7.05,582,8.0,1,1,0.6383333333333331,0.6749999999999999,0.8461538461538461,71.55910256410256,HIGH,1
C0153,28,36.54,6.85,4.41,144,22.3,0,0,0.4233333333333332,0.23500000000000001,0.2961538461538461,31.799102564102554,LOW,0
C0154,7,35.43,6.75,4.91,192,20.3,0,0,0.23833333333333329,0.31833333333333336,0.37307692307692303,30.810384615384613,LOW,0
C0155,9,36.05,6.67,4.31,114,18.0,0,0,0.3416666666666662,0.21833333333333327,0.46153846153846156,33.56602564102562,LOW,0
C0156,8,34.98,6.75,4.22,134,13.3,0,0,0.1633333333333328,0.20333333333333328,0.6423076923076922,32.58153846153844,LOW,0
C0157,12,35.81,6.66,4.51,143,20.6,0,0,0.301666666666667,0.25166666666666665,0.3615384615384615,30.272692307692317,LOW,0
C0158,2,34.97,6.65,4.92,34,17.7,0,0,0.1616666666666665,0.32,0.4730769230769231,31.362051282051272,LOW,0
C0159,1,35.19,6.61,4.64,217,17.6,0,0,0.19833333333333295,0.27333333333333326,0.4769230769230769,31.09461538461537,LOW,0
C0160,16,36.46,6.81,4.56,114,18.5,0,0,0.41000000000000014,0.25999999999999995,0.4423076923076923,36.751538461538466,LOW,0
C0161,23,35.4,6.57,4.71,170,25.2,0,0,0.2333333333333331,0.285,0.18461538461538465,23.631410256410252,LOW,0
C0162,23,35.61,6.8,4.18,147,27.2,0,0,0.26833333333333326,0.19666666666666663,0.10769230769230773,19.345128205128205,LOW,0
C0163,30,35.94,6.7,4.85,200,20.7,0,0,0.323333333333333,0.3083333333333333,0.3576923076923077,32.87346153846153,LOW,0
C0164,24,35.75,6.51,4.82,166,18.6,0,0,0.2916666666666667,0.3033333333333334,0.4384615384615384,34.12564102564103,LOW,0
C0165,5,37.1,7.14,6.73,364,10.7,1,1,0.5166666666666669,0.6216666666666667,0.7423076923076923,62.336538461538474,HIGH,1
C0166,3,35.68,6.44,5.0,114,21.4,0,0,0.27999999999999997,0.3333333333333333,0.3307692307692308,31.440512820512822,LOW,0
C0167,12,36.7,6.71,4.36,182,25.3,0,0,0.45000000000000046,0.2266666666666667,0.18076923076923074,28.837179487179505,LOW,0
C0168,8,35.47,6.74,5.04,75,19.3,0,0,0.2449999999999998,0.34,0.4115384615384615,32.9876923076923,LOW,0
C0169,22,35.6,6.59,4.75,176,12.9,0,0,0.2666666666666669,0.2916666666666667,0.6576923076923078,39.663461538461554,LOW,0
C0170,27,36.03,6.66,4.6,106,22.0,0,0,0.33833333333333354,0.2666666666666666,0.3076923076923077,30.37512820512821,LOW,0
C0171,3,36.05,6.85,4.69,200,23.0,0,0,0.3416666666666662,0.28166666666666673,0.2692307692307692,29.82115384615383,LOW,0
C0172,1,36.09,6.6,4.67,156,15.2,0,0,0.3483333333333339,0.2783333333333333,0.5692307692307692,39.231153846153866,LOW,0
C0173,3,35.82,6.54,5.07,176,20.5,0,0,0.3033333333333334,0.34500000000000003,0.36538461538461536,33.71525641025641,LOW,0
C0174,5,34.93,6.8,4.38,153,21.4,0,0,0.15499999999999994,0.22999999999999998,0.3307692307692308,23.573846153846155,LOW,0
C0175,15,36.32,6.85,4.47,80,19.8,0,0,0.3866666666666667,0.24499999999999997,0.3923076923076923,33.88320512820513,LOW,0
C0176,14,34.93,6.65,5.01,116,17.6,0,0,0.15499999999999994,0.33499999999999996,0.4769230769230769,31.77961538461538,LOW,0
C0177,3,35.65,6.75,4.52,177,23.0,0,0,0.27499999999999974,0.25333333333333324,0.2692307692307692,26.5628205128205,LOW,0
C0178,1,35.12,6.78,4.97,157,18.8,0,0,0.18666666666666623,0.3283333333333333,0.43076923076923074,31.192179487179473,LOW,0
C0179,5,35.47,6.58,5.21,197,15.5,0,0,0.2449999999999998,0.36833333333333335,0.5576923076923077,38.510128205128204,LOW,0
C0180,26,35.66,6.6,4.58,166,13.9,0,0,0.2766666666666661,0.26333333333333336,0.6192307692307693,37.81948717948717,LOW,0
C0181,23,35.66,6.77,4.9,111,23.8,0,0,0.2766666666666661,0.3166666666666667,0.23846153846153845,27.882307692307673,LOW,0
C0182,14,35.71,6.82,4.35,118,21.8,0,0,0.28500000000000014,0.22499999999999995,0.3153846153846154,27.34192307692308,LOW,0
C0183,7,36.31,6.71,4.93,154,20.3,0,0,0.3850000000000004,0.3216666666666666,0.37307692307692303,35.91371794871796,LOW,0
C0184,27,35.73,6.56,4.76,57,18.7,0,0,0.28833333333333283,0.2933333333333333,0.4346153846153846,33.54307692307691,LOW,0
C0185,9,39.32,7.31,6.01,674,11.1,1,1,0.8866666666666667,0.5016666666666666,0.7269230769230769,70.23961538461538,HIGH,1
C0186,15,37.25,7.26,6.83,661,9.8,1,1,0.5416666666666666,0.6383333333333333,0.7769230769230769,64.84294871794872,HIGH,1
C0187,15,36.09,6.62,4.2,199,18.7,0,0,0.3483333333333339,0.20000000000000004,0.4346153846153846,32.31641025641028,LOW,0
C0188,26,34.89,6.68,4.85,87,13.6,0,0,0.14833333333333343,0.3083333333333333,0.6307692307692307,35.38884615384615,LOW,0
C0189,10,38.54,7.1,6.45,952,9.3,1,1,0.7566666666666665,0.5750000000000001,0.7961538461538461,70.5324358974359,HIGH,1
C0190,28,35.85,6.74,4.6,239,19.1,0,0,0.30833333333333357,0.2666666666666666,0.4192307692307692,32.812820512820515,LOW,0
C0191,13,35.35,6.69,4.98,97,21.8,0,0,0.22500000000000023,0.33000000000000007,0.3153846153846154,28.97692307692309,LOW,0
C0192,19,36.19,6.7,4.76,181,19.9,0,0,0.3649999999999996,0.2933333333333333,0.3884615384615385,34.71897435897434,LOW,0
C0193,7,35.42,6.65,5.28,150,22.4,0,0,0.23666666666666694,0.38000000000000006,0.2923076923076924,30.40820512820514,LOW,0
C0194,17,35.56,6.71,5.01,88,24.0,0,0,0.2600000000000004,0.33499999999999996,0.23076923076923078,27.718846153846165,LOW,0
C0195,20,35.41,6.4,4.5,170,23.2,0,0,0.23499999999999943,0.25,0.26153846153846155,24.84769230769229,LOW,0
C0196,29,35.51,6.62,4.71,183,21.4,0,0,0.2516666666666663,0.285,0.3307692307692308,28.78551282051281,LOW,0
C0197,4,34.95,6.67,4.69,126,20.0,0,0,0.1583333333333338,0.28166666666666673,0.38461538461538464,27.164743589743612,LOW,0
C0198,30,34.78,6.53,4.23,197,17.1,0,0,0.1300000000000002,0.20500000000000007,0.4961538461538461,26.975769230769238,LOW,0
C0199,5,36.3,6.69,4.42,83,22.2,0,0,0.38333333333333286,0.23666666666666666,0.30000000000000004,30.616666666666653,LOW,0
C0200,23,35.08,6.63,4.53,90,25.0,0,0,0.17999999999999972,0.25500000000000006,0.19230769230769232,21.006538461538454,LOW,0
C0201,7,35.0,6.83,4.09,155,21.0,0,0,0.16666666666666666,0.18166666666666664,0.34615384615384615,22.75576923076923,LOW,0
