cow_id,first_positive_day,positive_days,negative_days,total_days,event_identified,notes
cow257,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow258,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow259,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow26,,0,6,6,No,
cow260,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow261,,0,6,6,No,
cow262,,0,6,6,No,
cow263,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow264,,0,6,6,No,
cow265,,0,6,6,No,
cow266,,0,6,6,No,
cow267,,0,6,6,No,
cow268,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow269,,0,6,6,No,
cow27,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow270,,0,6,6,No,
cow271,,0,6,6,No,
cow272,,0,6,6,No,
cow273,,0,6,6,No,
cow274,,0,6,6,No,
cow275,,0,6,6,No,
cow276,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow277,,0,6,6,No,
cow278,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow279,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow28,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow280,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow281,,0,6,6,No,
cow282,,0,6,6,No,
cow283,,0,6,6,No,
cow284,,0,6,6,No,
cow285,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow286,,0,6,6,No,
cow287,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow288,,0,6,6,No,
cow289,,0,6,6,No,
cow29,,0,6,6,No,
cow290,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow291,,0,6,6,No,
cow292,,0,6,6,No,
cow293,,0,6,6,No,
cow294,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow295,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow296,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow297,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow298,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow299,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow3,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow30,,0,6,6,No,
cow300,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow301,,0,6,6,No,
cow302,,0,6,6,No,
cow303,,0,6,6,No,
cow304,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow305,,0,6,6,No,
cow306,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow307,,0,6,6,No,
cow308,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow309,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow31,,0,6,6,No,
cow310,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow311,,0,6,6,No,
cow312,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow313,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow314,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow315,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow316,,0,6,6,No,
cow317,,0,6,6,No,
cow318,,0,6,6,No,
cow319,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow32,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow320,,0,6,6,No,
cow321,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow322,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow323,,0,6,6,No,
cow324,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow325,,0,6,6,No,
cow326,,0,6,6,No,
cow327,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow328,,0,6,6,No,
cow329,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow33,,0,6,6,No,
cow330,,0,6,6,No,
cow331,,0,6,6,No,
cow332,,0,6,6,No,
cow333,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow334,,0,6,6,No,
cow335,,0,6,6,No,
cow336,,0,6,6,No,
cow337,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow338,,0,6,6,No,
cow339,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow34,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow340,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow341,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow342,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow343,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow344,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow345,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow346,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow347,,0,6,6,No,
cow348,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow349,,0,6,6,No,
cow35,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow350,,0,6,6,No,
cow351,,0,6,6,No,
cow352,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow353,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow354,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow355,,0,6,6,No,
cow356,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow357,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow358,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow359,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow36,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow360,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow361,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow362,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow363,,0,6,6,No,
cow364,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow365,,0,6,6,No,
cow366,,0,6,6,No,
cow367,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow368,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow369,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow37,,0,6,6,No,
cow370,,0,6,6,No,
cow371,,0,6,6,No,
cow372,,0,6,6,No,
cow373,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow374,,0,6,6,No,
cow375,,0,6,6,No,
cow376,,0,6,6,No,
cow377,,0,6,6,No,
cow378,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow379,,0,6,6,No,
cow38,,0,6,6,No,
cow380,,0,6,6,No,
cow381,,0,6,6,No,
cow382,,0,6,6,No,
cow383,,0,6,6,No,
cow384,,0,6,6,No,
cow385,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow386,,0,6,6,No,
cow387,,0,6,6,No,
cow388,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow389,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow39,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow390,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow391,,0,6,6,No,
cow392,,0,6,6,No,
cow393,,0,6,6,No,
cow394,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow395,,0,6,6,No,
cow396,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow397,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow398,,0,6,6,No,
cow399,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow4,,0,6,6,No,
cow40,,0,6,6,No,
cow400,,0,6,6,No,
cow401,,0,6,6,No,
cow402,,0,6,6,No,
cow403,,0,6,6,No,
cow404,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow405,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow406,,0,6,6,No,
cow407,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow408,,0,6,6,No,
cow409,,0,6,6,No,
cow41,,0,6,6,No,
cow410,,0,6,6,No,
cow411,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow412,,0,6,6,No,
cow413,,0,6,6,No,
cow414,,0,6,6,No,
cow415,,0,6,6,No,
cow416,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow417,,0,6,6,No,
cow418,,0,6,6,No,
cow419,,0,6,6,No,
cow42,,0,6,6,No,
cow420,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow421,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow422,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow423,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow424,,0,6,6,No,
cow425,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow426,,0,6,6,No,
cow427,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow428,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow429,,0,6,6,No,
cow43,,0,6,6,No,
cow430,,0,6,6,No,
cow431,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow432,,0,6,6,No,
cow433,,0,6,6,No,
cow434,,0,6,6,No,
cow435,,0,6,6,No,
cow436,,0,6,6,No,
cow437,,0,6,6,No,
cow438,,0,6,6,No,
cow439,,0,6,6,No,
cow44,,0,6,6,No,
cow440,,0,6,6,No,
cow441,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow442,,0,6,6,No,
cow443,,0,6,6,No,
cow444,,0,6,6,No,
cow445,,0,6,6,No,
cow446,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow447,,0,6,6,No,
cow448,,0,6,6,No,
cow449,,0,6,6,No,
cow45,,0,6,6,No,
cow450,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow451,,0,6,6,No,
cow452,,0,6,6,No,
cow453,,0,6,6,No,
cow454,,0,6,6,No,
cow455,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow456,,0,6,6,No,
cow457,,0,6,6,No,
cow458,,0,6,6,No,
cow459,,0,6,6,No,
cow46,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow460,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow461,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow462,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow463,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow464,,0,6,6,No,
cow465,,0,6,6,No,
cow466,,0,6,6,No,
cow467,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow468,,0,6,6,No,
cow469,,0,6,6,No,
cow47,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow470,,0,6,6,No,
cow471,,0,6,6,No,
cow472,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow473,,0,6,6,No,
cow474,,0,6,6,No,
cow475,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow476,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow477,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow478,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow479,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow48,,0,6,6,No,
cow480,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow481,,0,6,6,No,
cow482,,0,6,6,No,
cow483,,0,6,6,No,
cow484,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow485,,0,6,6,No,
cow486,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow487,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow488,,0,6,6,No,
cow489,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow49,,0,6,6,No,
cow490,,0,6,6,No,
cow491,,0,6,6,No,
cow492,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow493,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow494,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow495,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow496,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow497,,0,6,6,No,
cow498,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow499,,0,6,6,No,
cow5,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow50,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow500,,0,6,6,No,
cow501,,0,6,6,No,
cow502,,0,6,6,No,
cow503,,0,6,6,No,
cow504,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow505,,0,6,6,No,
cow506,,0,6,6,No,
cow507,,0,6,6,No,
cow508,,0,6,6,No,
cow509,,0,6,6,No,
cow51,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow510,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow511,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow512,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow513,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow514,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow515,,0,6,6,No,
cow516,,0,6,6,No,
cow517,,0,6,6,No,
cow518,,0,6,6,No,
cow519,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow52,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow520,,0,6,6,No,
cow521,,0,6,6,No,
cow522,,0,6,6,No,
cow523,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow524,,0,6,6,No,
cow525,,0,6,6,No,
cow526,,0,6,6,No,
cow527,,0,6,6,No,
cow528,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow529,,0,6,6,No,
cow53,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow530,,0,6,6,No,
cow531,,0,6,6,No,
cow532,,0,6,6,No,
cow533,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow534,,0,6,6,No,
cow535,,0,6,6,No,
cow536,,0,6,6,No,
cow537,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow538,,0,6,6,No,
cow539,,0,6,6,No,
cow54,,0,6,6,No,
cow540,,0,6,6,No,
cow541,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow542,,0,6,6,No,
cow543,,0,6,6,No,
cow544,,0,6,6,No,
cow545,,0,6,6,No,
cow546,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow547,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow548,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow549,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow55,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow550,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow551,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow552,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow553,,0,6,6,No,
cow554,,0,6,6,No,
cow555,,0,6,6,No,
cow556,,0,6,6,No,
cow557,,0,6,6,No,
cow558,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow559,,0,6,6,No,
cow56,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow560,,0,6,6,No,
cow561,,0,6,6,No,
cow562,,0,6,6,No,
cow563,,0,6,6,No,
cow564,,0,6,6,No,
cow565,,0,6,6,No,
cow566,,0,6,6,No,
cow567,,0,6,6,No,
cow568,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow569,,0,6,6,No,
cow57,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow570,,0,6,6,No,
cow571,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow572,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow573,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow574,,0,6,6,No,
cow575,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow576,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow577,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow578,1970-01-01 00:00:00.000000001,6,0,6,Yes,
cow579,1970-01-01 00:00:00.000000001,6,0,6,Yes,
