file_path,column_name,data_type,missing_percentage,unique_count,sample_value,classification,notes
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IUFL,int64,0.0,95,150,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EUFL,int64,0.0,93,180,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IUFR,int64,0.0,101,150,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EUFR,int64,0.0,112,180,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IURL,int64,0.0,95,150,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EURL,int64,0.0,94,181,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,IURR,int64,0.0,77,150,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,EURR,int64,0.0,77,181,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Temperature,int64,0.0,20,43,KEEP candidate,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Hardness,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Pain,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,Milk_visibility,int64,0.0,2,0,KEEP candidate,
Clinical_Mastitis_cows_version2\Clinical_Mastitis_cows_version2\clinical_mastitis_cows.csv,class1,int64,0.0,2,0,TARGET candidate,
sensor_data\behavior_labels\individual\C01_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C01_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C01_0725.csv,behavior,int64,0.0,1,0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C02_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C02_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C02_0725.csv,behavior,int64,0.0,1,0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C03_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C03_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C03_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C04_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C04_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C04_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C05_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C05_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C05_0725.csv,behavior,int64,0.0,1,0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C06_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C06_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C06_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C07_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C07_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C07_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C08_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C08_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C08_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C09_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C09_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C09_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C10_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C10_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C10_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C11_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C11_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C11_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C12_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C12_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C12_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C13_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C13_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C13_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C14_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C14_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C14_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C15_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C15_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C15_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\behavior_labels\individual\C16_0725.csv,timestamp,int64,0.0,5000,1690261200,KEEP candidate,
sensor_data\behavior_labels\individual\C16_0725.csv,datetime,str,0.0,5000,0:00:00,KEEP candidate,
sensor_data\behavior_labels\individual\C16_0725.csv,behavior,float64,0.0,1,0.0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0721.csv,timestamp,float64,0.0,690,1689960600.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0721.csv,datetime,str,0.0,690,2023-07-21 12:30:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0721.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0722.csv,timestamp,float64,0.0,1440,1690002000.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0722.csv,datetime,str,0.0,1440,2023-07-22 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0722.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0723.csv,timestamp,float64,0.0,1440,1690088400.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0723.csv,datetime,str,0.0,1440,2023-07-23 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0723.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0724.csv,timestamp,float64,0.0,1440,1690174800.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0724.csv,datetime,str,0.0,1440,2023-07-24 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0724.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0725.csv,timestamp,float64,0.0,1440,1690261200.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0725.csv,datetime,str,0.0,1440,2023-07-25 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0725.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0726.csv,timestamp,float64,0.0,1440,1690347600.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0726.csv,datetime,str,0.0,1440,2023-07-26 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0726.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0727.csv,timestamp,float64,0.0,1440,1690434000.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0727.csv,datetime,str,0.0,1440,2023-07-27 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0727.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0728.csv,timestamp,float64,0.0,1440,1690520400.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0728.csv,datetime,str,0.0,1440,2023-07-28 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0728.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0729.csv,timestamp,float64,0.0,1440,1690606800.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0729.csv,datetime,str,0.0,1440,2023-07-29 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0729.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0730.csv,timestamp,float64,0.0,1440,1690693200.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0730.csv,datetime,str,0.0,1440,2023-07-30 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0730.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0731.csv,timestamp,float64,0.0,1440,1690779600.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0731.csv,datetime,str,0.0,1440,2023-07-31 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0731.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0801.csv,timestamp,float64,0.0,1440,1690866000.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0801.csv,datetime,str,0.0,1440,2023-08-01 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0801.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0802.csv,timestamp,float64,0.0,1440,1690952400.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0802.csv,datetime,str,0.0,1440,2023-08-02 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0802.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0803.csv,timestamp,float64,0.0,1440,1691038800.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0803.csv,datetime,str,0.0,1440,2023-08-03 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0803.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C01\C01_0804.csv,timestamp,float64,0.0,421,1691125200.0,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0804.csv,datetime,str,0.0,421,2023-08-04 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C01\C01_0804.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0721.csv,timestamp,float64,0.0,690,1689960600.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0721.csv,datetime,str,0.0,690,2023-07-21 12:30:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0721.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0722.csv,timestamp,float64,0.0,1440,1690002000.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0722.csv,datetime,str,0.0,1440,2023-07-22 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0722.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0723.csv,timestamp,float64,0.0,1440,1690088400.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0723.csv,datetime,str,0.0,1440,2023-07-23 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0723.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0724.csv,timestamp,float64,0.0,1440,1690174800.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0724.csv,datetime,str,0.0,1440,2023-07-24 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0724.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0725.csv,timestamp,float64,0.0,1440,1690261200.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0725.csv,datetime,str,0.0,1440,2023-07-25 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0725.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0726.csv,timestamp,float64,0.0,1440,1690347600.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0726.csv,datetime,str,0.0,1440,2023-07-26 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0726.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0727.csv,timestamp,float64,0.0,1440,1690434000.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0727.csv,datetime,str,0.0,1440,2023-07-27 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0727.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0728.csv,timestamp,float64,0.0,1440,1690520400.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0728.csv,datetime,str,0.0,1440,2023-07-28 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0728.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0729.csv,timestamp,float64,0.0,1440,1690606800.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0729.csv,datetime,str,0.0,1440,2023-07-29 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0729.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0730.csv,timestamp,float64,0.0,1440,1690693200.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0730.csv,datetime,str,0.0,1440,2023-07-30 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0730.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0731.csv,timestamp,float64,0.0,1440,1690779600.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0731.csv,datetime,str,0.0,1440,2023-07-31 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0731.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0801.csv,timestamp,float64,0.0,1440,1690866000.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0801.csv,datetime,str,0.0,1440,2023-08-01 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0801.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0802.csv,timestamp,float64,0.0,1440,1690952400.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0802.csv,datetime,str,0.0,1440,2023-08-02 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0802.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0803.csv,timestamp,float64,0.0,1440,1691038800.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0803.csv,datetime,str,0.0,1440,2023-08-03 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0803.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C02\C02_0804.csv,timestamp,float64,0.0,421,1691125200.0,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0804.csv,datetime,str,0.0,421,2023-08-04 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C02\C02_0804.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0721.csv,timestamp,float64,0.0,690,1689960600.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0721.csv,datetime,str,0.0,690,2023-07-21 12:30:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0721.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0722.csv,timestamp,float64,0.0,1440,1690002000.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0722.csv,datetime,str,0.0,1440,2023-07-22 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0722.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0723.csv,timestamp,float64,0.0,1440,1690088400.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0723.csv,datetime,str,0.0,1440,2023-07-23 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0723.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0724.csv,timestamp,float64,0.0,1440,1690174800.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0724.csv,datetime,str,0.0,1440,2023-07-24 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0724.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0725.csv,timestamp,float64,0.0,1440,1690261200.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0725.csv,datetime,str,0.0,1440,2023-07-25 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0725.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0726.csv,timestamp,float64,0.0,1440,1690347600.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0726.csv,datetime,str,0.0,1440,2023-07-26 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0726.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0727.csv,timestamp,float64,0.0,1440,1690434000.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0727.csv,datetime,str,0.0,1440,2023-07-27 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0727.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0728.csv,timestamp,float64,0.0,1440,1690520400.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0728.csv,datetime,str,0.0,1440,2023-07-28 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0728.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0729.csv,timestamp,float64,0.0,1440,1690606800.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0729.csv,datetime,str,0.0,1440,2023-07-29 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0729.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0730.csv,timestamp,float64,0.0,1440,1690693200.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0730.csv,datetime,str,0.0,1440,2023-07-30 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0730.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0731.csv,timestamp,float64,0.0,1440,1690779600.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0731.csv,datetime,str,0.0,1440,2023-07-31 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0731.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0801.csv,timestamp,float64,0.0,1440,1690866000.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0801.csv,datetime,str,0.0,1440,2023-08-01 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0801.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0802.csv,timestamp,float64,0.0,1440,1690952400.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0802.csv,datetime,str,0.0,1440,2023-08-02 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0802.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0803.csv,timestamp,float64,0.0,1440,1691038800.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0803.csv,datetime,str,0.0,1440,2023-08-03 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0803.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C03\C03_0804.csv,timestamp,float64,0.0,421,1691125200.0,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0804.csv,datetime,str,0.0,421,2023-08-04 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C03\C03_0804.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C04\C04_0721.csv,timestamp,float64,0.0,690,1689960600.0,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0721.csv,datetime,str,0.0,690,2023-07-21 12:30:00,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0721.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C04\C04_0722.csv,timestamp,float64,0.0,1440,1690002000.0,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0722.csv,datetime,str,0.0,1440,2023-07-22 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0722.csv,lying,int64,0.0,2,1,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C04\C04_0723.csv,timestamp,float64,0.0,1440,1690088400.0,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0723.csv,datetime,str,0.0,1440,2023-07-23 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0723.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
sensor_data\main_data\ankle\C04\C04_0724.csv,timestamp,float64,0.0,1440,1690174800.0,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0724.csv,datetime,str,0.0,1440,2023-07-24 00:00:00,KEEP candidate,
sensor_data\main_data\ankle\C04\C04_0724.csv,lying,int64,0.0,2,0,UNKNOWN / NEEDS REVIEW,
