file_path,dataset_name,file_type,rows,columns,cow_id_candidate,date_candidate,timestamp_candidate,target_candidate,time_granularity,notes
sensor_data\main_data\ankle\C03\C03_0730.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0731.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0801.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0802.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0803.csv,C03,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C03\C03_0804.csv,C03,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0721.csv,C04,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0722.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0723.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0724.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0725.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0726.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0727.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0728.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0729.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0730.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0731.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0801.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0802.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0803.csv,C04,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C04\C04_0804.csv,C04,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0721.csv,C05,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0722.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0723.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0724.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0725.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0726.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0727.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0728.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0729.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0730.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0731.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0801.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0802.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0803.csv,C05,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C05\C05_0804.csv,C05,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0721.csv,C06,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0722.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0723.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0724.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0725.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0726.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0727.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0728.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0729.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0730.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0731.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0801.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0802.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0803.csv,C06,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C06\C06_0804.csv,C06,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0721.csv,C07,csv,300,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0722.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0723.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0724.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0725.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0726.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0727.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0728.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0729.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0730.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0731.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0801.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0802.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0803.csv,C07,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C07\C07_0804.csv,C07,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0721.csv,C08,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0722.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0723.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0724.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0725.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0726.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0727.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0728.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0729.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0730.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0731.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0801.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0802.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0803.csv,C08,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C08\C08_0804.csv,C08,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0721.csv,C09,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0722.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0723.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0724.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0725.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0726.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0727.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0728.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0729.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0730.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0731.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0801.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0802.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0803.csv,C09,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C09\C09_0804.csv,C09,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0721.csv,C10,csv,690,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0722.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0723.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0724.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0725.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0726.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0727.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0728.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0729.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0730.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0731.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0801.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0802.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0803.csv,C10,csv,1440,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\ankle\C10\C10_0804.csv,C10,csv,421,3,,datetime,"timestamp, datetime",,unknown (needs manual review),
sensor_data\main_data\cbt\C01.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C02.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C03.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C04.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C05.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C06.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C07.csv,cbt,csv,19441,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C08.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C09.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\cbt\C10.csv,cbt,csv,19831,2,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0721.csv,T01,csv,413910,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0722.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0723.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0724.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0725.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0726.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0727.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0728.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0729.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0730.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0731.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0801.csv,T01,csv,863999,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0802.csv,T01,csv,863990,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0803.csv,T01,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T01\T01_0804.csv,T01,csv,252149,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0721.csv,T02,csv,413930,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0722.csv,T02,csv,863999,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0723.csv,T02,csv,863990,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0724.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0725.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0726.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0727.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0728.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0729.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0730.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0731.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0801.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0802.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0803.csv,T02,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T02\T02_0804.csv,T02,csv,249969,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0721.csv,T03,csv,413950,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0722.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0723.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0724.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0725.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0726.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0727.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0728.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0729.csv,T03,csv,863999,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0730.csv,T03,csv,863999,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0731.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0801.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0802.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0803.csv,T03,csv,864000,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T03\T03_0804.csv,T03,csv,252129,7,,,timestamp,,unknown (needs manual review),
sensor_data\main_data\immu\T04\T04_0721.csv,T04,csv,413910,7,,,timestamp,,unknown (needs manual review),
