feature_name,source_dataset,source_file,source_column,data_type,time_granularity,cow_identifier,date_identifier,transformation_required,leakage_risk,notes
accel_x_mps2,T01,sensor_data\main_data\immu\T01\T01_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T01,sensor_data\main_data\immu\T01\T01_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T01,sensor_data\main_data\immu\T01\T01_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T01,sensor_data\main_data\immu\T01\T01_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T01,sensor_data\main_data\immu\T01\T01_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T01,sensor_data\main_data\immu\T01\T01_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T02,sensor_data\main_data\immu\T02\T02_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T02,sensor_data\main_data\immu\T02\T02_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T02,sensor_data\main_data\immu\T02\T02_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T02,sensor_data\main_data\immu\T02\T02_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T02,sensor_data\main_data\immu\T02\T02_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T02,sensor_data\main_data\immu\T02\T02_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T03,sensor_data\main_data\immu\T03\T03_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T03,sensor_data\main_data\immu\T03\T03_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T03,sensor_data\main_data\immu\T03\T03_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T03,sensor_data\main_data\immu\T03\T03_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T03,sensor_data\main_data\immu\T03\T03_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T03,sensor_data\main_data\immu\T03\T03_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T04,sensor_data\main_data\immu\T04\T04_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T04,sensor_data\main_data\immu\T04\T04_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T04,sensor_data\main_data\immu\T04\T04_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T04,sensor_data\main_data\immu\T04\T04_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T04,sensor_data\main_data\immu\T04\T04_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T04,sensor_data\main_data\immu\T04\T04_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T05,sensor_data\main_data\immu\T05\T05_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T05,sensor_data\main_data\immu\T05\T05_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T05,sensor_data\main_data\immu\T05\T05_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T05,sensor_data\main_data\immu\T05\T05_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T05,sensor_data\main_data\immu\T05\T05_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T05,sensor_data\main_data\immu\T05\T05_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T06,sensor_data\main_data\immu\T06\T06_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T06,sensor_data\main_data\immu\T06\T06_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T06,sensor_data\main_data\immu\T06\T06_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T06,sensor_data\main_data\immu\T06\T06_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T06,sensor_data\main_data\immu\T06\T06_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T06,sensor_data\main_data\immu\T06\T06_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T07,sensor_data\main_data\immu\T07\T07_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T07,sensor_data\main_data\immu\T07\T07_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T07,sensor_data\main_data\immu\T07\T07_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T07,sensor_data\main_data\immu\T07\T07_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T07,sensor_data\main_data\immu\T07\T07_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T07,sensor_data\main_data\immu\T07\T07_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T08,sensor_data\main_data\immu\T08\T08_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T08,sensor_data\main_data\immu\T08\T08_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T08,sensor_data\main_data\immu\T08\T08_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T08,sensor_data\main_data\immu\T08\T08_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T08,sensor_data\main_data\immu\T08\T08_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T08,sensor_data\main_data\immu\T08\T08_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T09,sensor_data\main_data\immu\T09\T09_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T09,sensor_data\main_data\immu\T09\T09_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T09,sensor_data\main_data\immu\T09\T09_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T09,sensor_data\main_data\immu\T09\T09_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T09,sensor_data\main_data\immu\T09\T09_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T09,sensor_data\main_data\immu\T09\T09_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T10,sensor_data\main_data\immu\T10\T10_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T10,sensor_data\main_data\immu\T10\T10_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T10,sensor_data\main_data\immu\T10\T10_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T10,sensor_data\main_data\immu\T10\T10_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T10,sensor_data\main_data\immu\T10\T10_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T10,sensor_data\main_data\immu\T10\T10_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T13,sensor_data\main_data\immu\T13\T13_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T13,sensor_data\main_data\immu\T13\T13_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T13,sensor_data\main_data\immu\T13\T13_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T13,sensor_data\main_data\immu\T13\T13_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T13,sensor_data\main_data\immu\T13\T13_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T13,sensor_data\main_data\immu\T13\T13_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_x_mps2,T14,sensor_data\main_data\immu\T14\T14_0721.csv,accel_x_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_y_mps2,T14,sensor_data\main_data\immu\T14\T14_0721.csv,accel_y_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
accel_z_mps2,T14,sensor_data\main_data\immu\T14\T14_0721.csv,accel_z_mps2,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_x_uT,T14,sensor_data\main_data\immu\T14\T14_0721.csv,mag_x_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_y_uT,T14,sensor_data\main_data\immu\T14\T14_0721.csv,mag_y_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
mag_z_uT,T14,sensor_data\main_data\immu\T14\T14_0721.csv,mag_z_uT,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
milk_weight_kg,milk,sensor_data\main_data\milk\C01.csv,milk_weight_kg,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
DIM,milk,sensor_data\main_data\milk\C01.csv,DIM,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T01,sensor_data\main_data\pressure\T01\T01_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T01,sensor_data\main_data\pressure\T01\T01_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T02,sensor_data\main_data\pressure\T02\T02_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T02,sensor_data\main_data\pressure\T02\T02_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T03,sensor_data\main_data\pressure\T03\T03_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T03,sensor_data\main_data\pressure\T03\T03_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T04,sensor_data\main_data\pressure\T04\T04_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T04,sensor_data\main_data\pressure\T04\T04_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T05,sensor_data\main_data\pressure\T05\T05_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T05,sensor_data\main_data\pressure\T05\T05_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T06,sensor_data\main_data\pressure\T06\T06_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T06,sensor_data\main_data\pressure\T06\T06_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T07,sensor_data\main_data\pressure\T07\T07_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T07,sensor_data\main_data\pressure\T07\T07_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T08,sensor_data\main_data\pressure\T08\T08_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T08,sensor_data\main_data\pressure\T08\T08_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T09,sensor_data\main_data\pressure\T09\T09_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T09,sensor_data\main_data\pressure\T09\T09_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T10,sensor_data\main_data\pressure\T10\T10_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T10,sensor_data\main_data\pressure\T10\T10_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T13,sensor_data\main_data\pressure\T13\T13_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T13,sensor_data\main_data\pressure\T13\T13_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
pressure_Pa,T14,sensor_data\main_data\pressure\T14\T14_0721.csv,pressure_Pa,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
elevation_m,T14,sensor_data\main_data\pressure\T14\T14_0721.csv,elevation_m,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
temperature_F,thi,sensor_data\main_data\thi\average.csv,temperature_F,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
humidity_per,thi,sensor_data\main_data\thi\average.csv,humidity_per,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
THI,thi,sensor_data\main_data\thi\average.csv,THI,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
temperature_C,thi,sensor_data\main_data\thi\S01.csv,temperature_C,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T01,sensor_data\main_data\uwb\T01\T01_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_y_cm,T01,sensor_data\main_data\uwb\T01\T01_0721.csv,coord_y_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_z_cm,T01,sensor_data\main_data\uwb\T01\T01_0721.csv,coord_z_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
coord_x_cm,T02,sensor_data\main_data\uwb\T02\T02_0721.csv,coord_x_cm,float64,high-freq,Cow_ID/C*/T*,Day/datetime,aggregate to daily,SAFE FEATURE,
