Milk_Temperature,Milk_Conductivity,Milk_Yield,class1
35.53,4.64,20.0,0
37.96,6.74,10.8,1
37.81,6.63,11.1,1
35.54,4.38,18.5,0
38.8,6.24,9.8,1
35.96,4.4,11.7,0
35.67,4.46,19.5,0
36.0,4.57,25.2,0
37.83,7.05,8.0,1
36.54,4.41,22.3,0
35.43,4.91,20.3,0
36.05,4.31,18.0,0
34.98,4.22,13.3,0
35.81,4.51,20.6,0
34.97,4.92,17.7,0
35.19,4.64,17.6,0
36.46,4.56,18.5,0
35.4,4.71,25.2,0
35.61,4.18,27.2,0
35.94,4.85,20.7,0
35.75,4.82,18.6,0
37.1,6.73,10.7,1
35.68,5.0,21.4,0
36.7,4.36,25.3,0
35.47,5.04,19.3,0
35.6,4.75,12.9,0
36.03,4.6,22.0,0
36.05,4.69,23.0,0
36.09,4.67,15.2,0
35.82,5.07,20.5,0
34.93,4.38,21.4,0
36.32,4.47,19.8,0
34.93,5.01,17.6,0
35.65,4.52,23.0,0
35.12,4.97,18.8,0
35.47,5.21,15.5,0
35.66,4.58,13.9,0
35.66,4.9,23.8,0
35.71,4.35,21.8,0
36.31,4.93,20.3,0
35.73,4.76,18.7,0
39.32,6.01,11.1,1
37.25,6.83,9.8,1
36.09,4.2,18.7,0
34.89,4.85,13.6,0
38.54,6.45,9.3,1
35.85,4.6,19.1,0
35.35,4.98,21.8,0
36.19,4.76,19.9,0
35.42,5.28,22.4,0
35.56,5.01,24.0,0
35.41,4.5,23.2,0
35.51,4.71,21.4,0
34.95,4.69,20.0,0
34.78,4.23,17.1,0
36.3,4.42,22.2,0
35.08,4.53,25.0,0
35.0,4.09,21.0,0
38.63,6.37,7.9,1
35.18,4.63,15.4,0
34.84,4.2,16.5,0
36.32,4.82,22.6,0
36.0,4.91,20.8,0
35.16,4.77,23.9,0
36.63,4.6,20.0,0
35.99,4.88,17.4,0
35.34,4.9,19.4,0
34.25,4.79,15.4,0
36.65,4.45,16.6,0
34.81,4.78,22.9,0
34.68,5.06,22.6,0
36.01,4.52,21.1,0
38.04,7.29,9.7,1
36.19,4.54,18.9,0
35.78,4.71,16.3,0
35.8,4.5,23.5,0
35.93,4.77,18.2,0
35.88,4.18,16.7,0
35.64,4.54,20.1,0
35.55,4.37,18.1,0
35.47,4.74,24.5,0
35.12,5.0,17.8,0
35.36,4.89,15.8,0
34.65,3.99,13.5,0
35.45,5.31,19.9,0
35.01,4.79,18.3,0
34.95,4.47,15.7,0
35.59,4.75,23.6,0
37.31,6.58,9.6,1
35.96,4.5,19.9,0
34.71,4.76,24.1,0
35.01,4.52,22.0,0
35.97,4.58,17.5,0
35.01,4.49,16.9,0
35.39,4.27,22.5,0
35.78,4.74,21.2,0
35.02,4.88,20.5,0
35.55,4.85,17.5,0
38.38,6.78,8.8,1
35.2,4.8,17.7,0
35.66,4.54,19.7,0
34.7,4.95,24.3,0
38.54,6.59,10.8,1
35.49,4.43,15.3,0
35.78,4.41,16.8,0
37.92,6.38,10.4,1
37.63,7.26,8.9,1
37.66,6.63,9.5,1
35.29,5.02,18.5,0
35.56,4.44,21.5,0
35.77,4.8,17.5,0
37.05,7.99,11.7,1
35.52,4.95,17.8,0
35.15,4.67,17.3,0
35.17,4.58,18.1,0
34.8,4.86,18.9,0
36.37,4.96,19.9,0
34.88,4.5,20.7,0
35.15,4.68,8.9,0
35.14,4.38,17.6,0
35.95,3.95,18.8,0
35.35,4.76,24.5,0
36.12,4.88,16.8,0
35.16,4.78,20.5,0
35.64,4.12,24.5,0
35.08,4.59,16.1,0
36.57,4.03,21.2,0
34.91,5.11,17.6,0
35.65,4.37,18.5,0
35.82,5.08,17.6,0
35.71,4.98,17.8,0
35.41,4.43,28.2,0
38.09,6.26,8.9,1
35.52,4.81,23.3,0
38.62,7.01,7.2,1
35.98,4.73,15.2,0
36.61,4.56,21.2,0
35.22,4.17,23.2,0
34.82,4.03,17.4,0
35.46,4.77,22.9,0
36.79,4.53,22.1,0
35.1,4.53,25.6,0
39.38,7.83,9.3,1
38.2,6.1,9.3,1
37.75,7.4,9.4,1
35.78,4.6,24.3,0
36.31,4.85,14.5,0
37.65,6.75,7.4,1
35.4,4.77,20.3,0
35.21,4.87,18.7,0
34.99,4.9,20.0,0
35.18,4.12,22.8,0
38.56,6.79,7.3,1
35.52,4.44,14.4,0
35.12,4.73,26.1,0
35.62,4.84,17.0,0
34.72,5.15,16.8,0
35.67,4.55,23.3,0
37.57,6.53,9.9,1
34.5,5.04,19.8,0
35.69,4.79,21.4,0
36.11,5.08,23.3,0
37.59,6.23,10.5,1
36.34,4.35,24.6,0
38.44,6.43,9.0,1
35.15,4.23,22.3,0
35.47,4.9,17.5,0
35.78,5.06,24.1,0
35.54,5.25,20.4,0
35.77,4.95,18.0,0
35.04,5.05,22.0,0
35.58,4.53,22.7,0
37.71,6.39,8.2,1
35.44,4.96,16.9,0
35.05,4.83,18.5,0
38.71,6.13,6.6,1
36.12,4.82,19.9,0
36.05,4.8,22.2,0
38.62,8.09,12.1,1
34.95,5.09,21.0,0
35.34,4.86,19.1,0
36.11,4.95,17.5,0
35.57,4.85,17.8,0
36.66,4.56,19.4,0
35.7,4.93,9.2,0
37.93,6.41,13.4,1
35.35,5.02,17.4,0
35.57,4.34,21.6,0
35.42,4.79,17.6,0
35.85,4.45,19.4,0
35.98,4.87,24.6,0
35.11,4.69,23.0,0
34.83,4.22,22.7,0
34.58,4.83,18.5,0
37.93,7.48,7.0,1
34.95,4.96,19.3,0
38.73,7.26,7.6,1
35.69,4.82,21.2,0
38.15,7.03,7.1,1
35.5,4.52,24.5,0
35.92,4.56,19.5,0
35.54,4.96,21.9,0
35.45,5.2,24.4,0
35.96,4.46,23.1,0
35.35,5.02,15.8,0
35.63,4.05,21.3,0
35.66,4.34,22.6,0
35.17,4.41,22.7,0
36.0,4.29,16.7,0
35.41,4.22,18.0,0
35.12,4.82,23.0,0
35.77,4.64,17.7,0
38.82,7.34,8.4,1
35.51,4.91,24.7,0
35.5,4.78,19.9,0
36.04,4.9,17.8,0
38.3,6.31,10.2,1
35.49,4.34,21.0,0
35.91,5.02,16.0,0
36.2,4.52,19.3,0
35.78,4.42,21.0,0
35.51,4.65,23.9,0
37.74,6.67,9.5,1
37.89,6.04,7.1,1
35.35,4.8,23.5,0
35.2,4.8,19.1,0
37.9,7.07,11.3,1
35.53,4.55,19.5,0
35.76,5.02,24.3,0
35.46,4.85,20.5,0
35.74,5.32,20.0,0
35.53,5.05,24.9,0
34.51,5.04,15.7,0
37.41,6.54,8.4,1
38.56,6.91,9.4,1
34.9,4.68,21.1,0
35.8,4.53,20.5,0
38.22,6.53,7.2,1
38.01,6.67,6.1,1
35.39,4.85,18.8,0
38.3,7.4,11.8,1
37.82,6.41,11.5,1
35.33,4.51,15.0,0
35.19,4.77,28.1,0
35.35,4.61,21.6,0
35.31,4.63,20.6,0
35.59,4.93,21.8,0
38.08,6.27,8.4,1
35.5,5.28,19.6,0
35.72,4.15,18.1,0
36.1,4.52,21.8,0
35.97,4.81,21.2,0
38.74,7.64,12.9,1
34.22,4.67,24.3,0
35.97,4.68,20.9,0
34.82,4.82,22.2,0
35.39,4.63,24.2,0
34.91,5.12,20.1,0
34.6,4.95,21.0,0
35.77,4.96,22.4,0
35.88,4.41,17.8,0
35.21,4.68,20.2,0
34.2,4.61,20.4,0
37.81,5.98,8.3,1
35.7,4.81,27.0,0
34.76,4.54,15.8,0
35.59,4.9,16.1,0
35.49,4.38,23.9,0
35.79,5.22,22.1,0
35.56,4.43,16.9,0
38.57,6.34,9.4,1
36.1,4.94,24.4,0
35.42,4.53,19.9,0
35.49,4.96,27.8,0
37.37,6.65,10.1,1
35.28,5.14,22.1,0
35.06,4.7,23.5,0
35.41,4.52,22.7,0
36.36,4.61,19.4,0
34.81,4.94,19.1,0
38.08,6.77,11.4,1
36.24,4.48,22.4,0
35.4,4.63,21.8,0
35.17,4.35,23.1,0
36.02,5.25,16.9,0
35.2,4.53,19.3,0
36.41,4.95,17.2,0
35.84,4.76,18.8,0
35.26,4.4,23.0,0
36.58,4.7,20.3,0
35.2,4.94,27.8,0
35.87,4.64,20.6,0
35.65,5.06,20.2,0
36.15,5.01,20.3,0
36.28,4.98,18.1,0
37.79,6.13,7.6,1
38.29,5.71,8.6,1
35.73,4.52,20.3,0
35.16,4.76,17.6,0
36.51,4.86,17.2,0
35.57,4.05,18.6,0
35.32,4.7,20.2,0
35.59,4.75,23.6,0
34.83,4.62,16.0,0
35.01,5.09,19.0,0
36.1,4.83,20.4,0
35.17,5.09,14.5,0
34.98,4.64,17.5,0
35.77,4.98,18.0,0
36.09,5.19,17.6,0
35.86,5.09,20.6,0
36.0,4.37,19.5,0
35.12,4.62,18.3,0
34.79,4.6,21.3,0
36.25,4.85,25.2,0
35.34,4.91,24.9,0
35.37,4.45,14.2,0
36.16,4.72,21.7,0
38.3,6.54,10.2,1
38.44,6.42,9.4,1
36.58,4.55,18.8,0
35.18,4.72,20.4,0
35.96,4.61,20.5,0
35.53,5.04,18.3,0
37.97,5.81,10.5,1
36.26,4.7,18.7,0
35.75,4.67,20.7,0
35.77,4.56,21.8,0
36.04,5.22,22.6,0
35.32,4.43,18.5,0
35.08,4.93,20.9,0
34.98,4.81,22.9,0
38.66,7.13,9.4,1
38.71,7.28,8.3,1
34.95,4.48,19.3,0
35.39,5.03,20.6,0
35.36,4.83,16.6,0
35.65,4.24,19.4,0
35.91,4.54,22.2,0
35.93,4.82,21.9,0
35.21,4.95,19.2,0
35.42,4.5,20.7,0
35.64,3.83,17.5,0
35.38,4.86,22.1,0
37.52,7.39,6.7,1
35.75,4.09,19.2,0
35.87,3.85,18.9,0
38.05,6.5,12.2,1
36.09,4.74,18.7,0
38.99,6.37,11.3,1
34.85,5.12,18.8,0
35.7,4.89,24.8,0
35.17,5.18,24.4,0
35.24,4.28,17.3,0
35.79,4.69,20.2,0
36.12,4.21,18.0,0
35.51,4.63,19.0,0
35.65,4.63,26.0,0
38.76,6.86,10.1,1
37.27,7.65,10.1,1
36.8,4.89,21.6,0
35.78,4.91,17.0,0
34.62,5.35,17.4,0
35.88,4.61,16.4,0
37.79,6.66,12.3,1
36.14,4.77,11.4,0
35.84,4.46,21.6,0
35.43,5.14,26.2,0
34.89,4.62,20.4,0
35.4,4.53,15.8,0
37.46,6.43,12.3,1
35.21,4.92,18.6,0
35.79,4.65,16.9,0
36.33,4.51,22.6,0
38.16,6.92,7.6,1
37.75,6.64,9.8,1
35.72,4.71,22.2,0
36.1,4.9,24.6,0
35.2,4.21,25.7,0
35.43,4.84,28.6,0
38.02,6.55,11.4,1
35.11,4.95,28.5,0
35.82,4.41,18.9,0
35.44,4.91,18.2,0
35.71,5.03,21.0,0
35.06,4.96,18.3,0
35.28,4.78,21.2,0
35.86,4.63,16.0,0
35.31,4.53,19.3,0
36.36,5.14,23.9,0
35.3,4.49,19.8,0
35.61,4.39,20.4,0
35.97,4.9,21.4,0
34.79,4.46,23.5,0
34.62,4.41,15.0,0
34.74,4.27,21.8,0
36.13,4.56,19.2,0
35.22,4.68,20.5,0
38.49,7.31,9.4,1
35.22,4.99,16.4,0
35.59,4.86,17.0,0
36.27,4.64,14.2,0
36.5,4.64,18.4,0
36.53,4.85,24.0,0
36.1,5.08,19.6,0
36.01,4.74,16.0,0
35.8,4.56,18.5,0
35.89,4.4,15.5,0
35.22,4.27,16.6,0
35.09,4.9,21.2,0
35.5,4.87,16.5,0
35.41,4.87,23.3,0
35.27,4.66,19.8,0
35.85,5.12,20.3,0
35.98,4.55,19.2,0
35.54,4.99,22.3,0
38.44,6.73,7.3,1
34.93,4.52,21.0,0
35.4,4.88,21.7,0
35.14,4.82,19.4,0
34.57,4.81,21.6,0
35.46,4.72,19.0,0
35.44,4.69,20.0,0
38.42,7.05,10.3,1
35.82,5.06,18.6,0
37.72,6.18,10.0,1
36.43,4.73,21.4,0
36.11,5.0,23.9,0
35.79,4.86,23.5,0
38.23,7.18,9.6,1
35.02,4.61,23.9,0
38.0,6.37,8.7,1
36.04,3.75,21.8,0
36.44,4.76,17.3,0
37.81,6.81,10.8,1
35.26,5.18,20.9,0
34.94,4.71,15.5,0
35.57,4.34,21.8,0
37.96,6.43,8.7,1
37.24,7.46,9.6,1
35.43,4.84,24.1,0
35.27,4.79,19.4,0
38.29,8.05,7.7,1
35.76,4.46,13.3,0
35.23,4.71,27.3,0
38.0,6.18,12.0,1
34.06,4.91,19.1,0
35.49,4.86,14.1,0
36.39,4.85,20.9,0
38.25,7.41,9.3,1
37.74,6.7,10.8,1
36.92,6.62,13.1,1
35.73,4.61,17.2,0
37.76,7.82,8.8,1
37.57,7.03,8.5,1
35.88,4.44,22.9,0
37.8,7.46,8.4,1
35.45,5.03,15.8,0
35.4,4.62,22.9,0
35.06,4.63,19.2,0
35.09,4.58,15.8,0
35.39,4.54,24.1,0
35.68,4.79,26.3,0
35.96,4.25,19.9,0
35.1,5.08,26.5,0
36.25,4.5,20.3,0
35.36,4.92,18.9,0
35.49,4.32,18.1,0
35.13,4.9,24.9,0
34.29,4.9,17.7,0
35.94,4.82,22.2,0
37.69,6.82,8.9,1
35.36,4.77,18.6,0
35.53,4.35,23.1,0
35.76,4.62,18.9,0
37.44,6.94,9.1,1
35.24,4.94,23.4,0
37.92,6.8,8.2,1
34.87,4.41,21.9,0
38.08,6.63,7.4,1
34.82,4.71,18.5,0
38.56,6.31,11.9,1
35.48,4.93,21.0,0
34.69,4.69,17.0,0
36.08,5.06,22.2,0
35.13,4.37,20.3,0
35.09,3.75,14.9,0
37.52,7.75,7.5,1
37.52,7.31,10.9,1
34.99,4.19,19.8,0
35.53,4.41,25.7,0
35.71,5.53,20.7,0
35.85,4.61,17.5,0
35.59,4.92,20.7,0
35.32,4.5,18.9,0
35.09,4.07,21.0,0
35.54,4.65,21.7,0
34.96,4.62,23.6,0
34.04,4.58,19.9,0
35.72,4.67,24.9,0
35.95,4.78,22.7,0
37.96,7.36,6.7,1
35.0,4.32,26.6,0
35.81,4.85,21.0,0
36.53,4.12,17.5,0
35.51,4.08,25.0,0
38.03,7.03,11.4,1
35.41,4.85,19.9,0
36.19,4.68,18.5,0
35.18,4.28,19.5,0
37.86,7.29,10.3,1
38.84,7.01,9.8,1
35.02,4.22,21.7,0
35.56,4.48,20.3,0
36.31,4.9,24.5,0
38.41,7.25,10.0,1
35.37,4.57,23.1,0
38.41,7.13,9.3,1
34.72,4.13,21.3,0
35.94,4.9,19.7,0
35.46,4.46,19.8,0
35.41,4.79,18.9,0
37.1,4.63,24.0,0
35.65,5.1,17.8,0
35.12,4.44,17.8,0
35.29,4.89,26.4,0
36.07,4.62,22.9,0
35.56,4.65,12.8,0
38.58,5.91,11.7,1
37.89,6.33,9.5,1
37.98,7.04,7.7,1
37.23,7.66,10.8,1
36.04,4.77,19.6,0
35.28,4.73,16.6,0
36.14,4.94,20.2,0
35.53,4.98,15.1,0
35.93,4.38,20.2,0
38.28,6.43,8.2,1
35.08,4.34,24.5,0
35.18,4.88,24.2,0
36.01,4.89,22.4,0
35.33,4.13,19.0,0
35.3,4.73,26.0,0
35.02,4.56,15.3,0
38.41,6.3,6.3,1
36.53,5.11,19.7,0
34.97,4.5,26.8,0
38.87,7.19,7.6,1
38.69,6.52,10.4,1
37.35,5.38,8.9,1
38.34,7.48,8.4,1
34.97,5.05,22.9,0
35.71,4.86,22.4,0
35.41,4.05,18.1,0
35.99,4.54,17.9,0
36.09,4.53,16.1,0
36.79,4.84,20.3,0
35.79,3.91,16.8,0
35.66,5.46,16.5,0
35.6,4.86,18.7,0
35.32,4.74,18.5,0
35.67,5.05,18.4,0
35.35,5.4,21.4,0
37.71,7.31,9.4,1
36.16,4.98,19.1,0
35.0,4.74,20.5,0
36.07,4.66,17.0,0
38.04,6.77,9.6,1
35.44,4.45,20.5,0
34.44,4.49,15.5,0
35.2,4.29,23.0,0
36.15,4.68,17.4,0
38.44,6.08,11.5,1
35.0,4.76,23.5,0
35.25,4.69,22.8,0
38.34,5.93,9.1,1
37.9,7.47,6.3,1
35.38,5.62,22.8,0
39.18,6.82,9.2,1
35.3,4.33,18.1,0
35.04,4.77,17.6,0
36.31,4.52,13.8,0
35.34,4.4,20.5,0
36.11,4.3,19.8,0
38.73,7.47,6.6,1
37.33,6.98,10.1,1
35.28,4.99,24.0,0
37.7,6.32,4.7,1
35.49,5.11,23.4,0
35.05,4.44,18.4,0
35.66,4.84,22.3,0
34.91,4.89,15.6,0
38.43,6.05,9.9,1
37.81,7.43,9.7,1
35.6,5.18,19.2,0
35.64,4.77,21.3,0
35.37,4.89,18.4,0
35.79,4.45,16.8,0
37.66,5.93,10.1,1
35.94,4.53,19.7,0
34.83,4.66,18.5,0
35.56,4.38,20.1,0
36.47,4.7,27.9,0
35.0,4.19,23.5,0
35.16,4.36,23.5,0
35.76,4.9,21.3,0
35.59,4.88,20.5,0
38.29,6.79,8.8,1
35.74,4.39,18.0,0
35.82,4.39,18.6,0
37.69,6.5,9.3,1
35.7,4.89,16.5,0
37.59,5.76,7.5,1
35.84,4.55,19.9,0
36.45,4.35,22.5,0
35.43,4.78,23.3,0
35.01,4.45,21.2,0
36.05,4.54,17.1,0
35.44,5.1,14.2,0
34.41,4.95,14.7,0
35.92,4.75,16.2,0
35.23,4.32,17.3,0
38.16,6.59,9.9,1
38.04,7.03,12.5,1
36.89,6.67,8.0,1
35.85,5.11,19.3,0
35.28,5.09,20.0,0
35.76,5.2,23.4,0
35.37,4.79,16.5,0
35.87,4.88,21.3,0
35.81,5.12,20.0,0
35.03,4.83,19.0,0
36.04,4.55,22.7,0
35.23,4.57,22.6,0
35.9,4.77,17.2,0
35.68,4.31,19.5,0
37.43,6.77,9.3,1
35.39,5.03,19.2,0
35.33,4.04,21.8,0
35.49,5.16,20.8,0
35.35,5.04,25.5,0
35.9,4.56,15.4,0
34.69,4.86,19.6,0
34.97,4.7,17.3,0
34.97,5.07,21.8,0
35.98,4.99,15.1,0
36.36,4.28,21.0,0
37.65,6.97,11.8,1
35.42,4.64,17.8,0
35.54,4.72,15.7,0
37.85,6.07,9.7,1
35.04,5.22,23.3,0
35.62,5.01,19.9,0
35.99,4.48,21.9,0
35.75,4.3,25.0,0
38.51,6.79,9.7,1
36.0,4.83,18.3,0
